Startup_Description,category,category_needed
 This is a research and development company exploring solutions to optimize energy and water The company has developed several trend setting innovations with patents in these fields Out of these research we have now converted into a integrated platform for energy and water We have just entered the market and created a series of products We have customers like Mercedesbenz and NABARD We also in the process of collaborating with TCS Last year turnover was low because we were converting all the research to products We are expecting a turnover of Rs 5 crores by the end of 2018 Promoter has been in this field for more than a decade now ,5,Tech
 Company is involved in wind power and generation of renewable energy sources Our head office is located in Coimbatore Revenue is primarily generated from selling kitchen and home appliances and by the sale of pumps and solar solutions on wholesale basis Products are also exported to UAE We have experience in developing renewable energy through ready to purchase wind farms Business has not been operational since 12 months due to the pandemic and personal reasons When operational we served numerous private companies like Jindal Steel Works JSW and NTPC as well as PSUs like Tamil Nadu Generation and Distribution Corporation Limited TANGEDCO to provide them with renewable energy sources through solar panel and wind mills Seeking funds for large scale expansion into solar projects which is expected to generate revenue within 9 months of investment ,11,Sustainable Energy
 Our business provides training consultancy certifications and inspection services in the construction manufacturing hospitality and solar energy sectors 80 percent of our revenue comes from our training services which are provided in person due to extensive demonstration Our inspection services are in accordance with ISO 17020 and British Standard International Our training services have been recognised by various international and national bodies like DAC and DCAS We have trained over 20 000 people through 27 courses since inception with over 99 percent satisfaction rate Average project life varies from service to service along with the number of people that must be trained Currently we are training over 400 employees of the world s largest solar power plant The business is valued in consideration to the investment which is required to penetrate into oil wind energy sectors With the enormous scope and size of the industry along with less competition we believe with our existing methodologies in place we can excel and earn sizeable profits ,7,others
 We are a master system integrator company for audio video and ICT infrastructure Have been in operation for over 10 years in Muscat and have developed a fanatically loyal customer base We have over 50 clients in the Middle East most of whom are Oil Gas or Government clients At the moment due to the decline in oil prices and the pandemic situation we have had reduced revenues but we expect our revenues to grow once the situation has stabilized Our management team has over 100 years of combined experience in systems design and integration We hire experienced engineers who deliver the best solutions and project implementation Company uses global sustainable practices to ensure greener technical solutions to customers and our after sales support is second to none Our company invests heavily on R D and also focuses on protection of our intellectual property Have over 17 regular suppliers and technology partners from whom we source products Most of our suppliers are from Europe and Asia We have few suppliers in Dubai as well Promoter has been working in the field of technology in various roles since 1985 in both the US and UAE Company s physical assets include company infrastructure and equipment ,4,others
 Delhi based company that provides paint design and aesthetic repair services for electronics appliances and gadgets Offer B2B and B2C services B2C caters to a niche audience through word of mouth B2C transactions vary between INR 50 000 and INR 2 5 lakhs Have corporate clients like Aorus India Shure Boat and Studio 34 We have 14 clients which include individual as well as corporate clients with 4 repeat clients Over a period of 6 years we have seen an average growth rate of 37 Have an Instagram account with more than 8 000 followers Promoter has experience of more than 14 years in this field ,4,others
 Court evidence level NFT Proof of ownership and rights functionality that is both commercially verified and enterprise scalable Proactively addresses increasing NFT ownership and rights issues in consumer and corporate marketplaces No technology development risk secure extensible application with robust scalable architecture and software code independently audited Represents immediate and massive market opportunities Leading NFT verification tool with the highest standard evidential certification set for multiple applications across many international commercial markets Further information can be shared with interested parties after signing an NDA ,2,others
 IT Academy Intita has been operating in the educational services market since 2010 Hundreds of programmers were trained by the professional team of Academy We offer the opening of IT Academy Intita a private educational institution for training competitive IT professionals programmers web designers QA whose qualifications will meet the current requirements of the IT industry and will help in employment Thus we propose to open a legal highyield educational business on the basis of a proven training model employment of 99 of graduates in IT companies The advantages are based on the management of a profitable legal and highly intellectual business The basis is a readymade working business model promising and sustainable to market changes absence of real competitors in the region according to the curriculum and the percentage of graduates employment lack of IT specialists in the labor market IT Academy is an effective source of search and training for those who already own or plan to open their own IT company Help at all stages of the launch Exclusive right to work in the region It is proposed to open longterm from 6 months courses on training programmers in different areas The form of training is day and evening Offline and online training own online platform with builtin CRM system ,9,others
 Company established in 2009 planning to set up small hydro power plants across India Recently started a subsidiary company in Manali to start multiple hydro power projects Power produced will be bought by the state Government of Himachal Pradesh We are going to generate 800 KW of energy in total Set up and construction will be completed in 1 year and we will set up 2 more plants in the same location in 6 months Permission from The Department of Energy Government of Himachal Pradesh Forest Department has already been obtained ,0,Sustainable Energy
 6 700 acres land which can be used for agriculture tourism and real estate is for sale 1 000 acres of limestone hills material tested and found to be of the hardest and best quality in the country excellent to establish a quarry 5 500 acres of rich alluvial soil for farming The geo strategic location of the property is 15 minutes from the country s capital commercial center and 30 minutes from Belize City and the main shipping port Breakdown of Acreage of Farmland 500 acres of citrus orchards 1 500 acres of row crop production leased to Mennonite farmer 1 000 acres of limestone hills 800 acres of Pine Ridge land 2 900 acres of virgin farmland with large areas of cohune ridge Large navigable river flows through land with an excellent freshwater source for irrigation and drainage purposes Property is 170 feet above sea level and 30 feet above the banks of the river Property is a turnkey operation with almost seven miles inland of all weather roads that cross the land for proper maintenance and farm supervision of the groves There is no doubt that there is a potential for a number of best uses Solar Energy Project Windmill Energy Project Biofuel Palm Oil Coconut Oil Cacao Cultivation Row Crops Cattle Breeding Major AgriTourism Project Exclusive Retirement Residential Project ,6,Sustainable Energy
 Company based in Managua provides design construction and provision of hardware and software solutions in the field of automation and control energy and Industrial IoT We are into construction of base radio house supply and installation of telecommunications towers design supply and installation of the electrical system for a base radio house supply and installation of precision air for critical sites brands supply and installation of SPD deionizing lightning rods supply and installation of APTASCO surge suppressors We also do supply and installation of Solar PV systems for residential commercial and industrial sectors We have more than 20 clients Have strong relationship with public authorities and we are local partners of ColosseoEAS and Isbak Promoter has more than 14 years of experience in this business and had handled many renewable energy projects for power generation ,2,others
 We are an EPC firm focusing on solar projects Have executed around 7 projects so far for both government and private clients Execute projects between 5kW to 500kW Most of the government projects executed were for the Governments of Haryana and Rajasthan Have signed strategic partnerships with vendors including Adani and REC Recently we have been securing a larger number of projects and are looking for financing to execute them We are seeking investors for multiple projects spanning from INR 1 25 cr to INR 15 cr The IRR for each project is between 15 17 with a payback period between 3 to 5 years The promoters and consultants have prior background implementing several large scale renewable energy projects ,1,Sustainable Energy
 Have secured approvals for 2 hydro projects in Kerala with a total capacity of 900 kW We are going to start with the construction and development of one project with a capacity of 350 kW in Kannur The plants shall be developed under own land category basis We plan to start development this month Promoters have previous experience as heads of an engineering consultancy company for 8 years They have been involved in design and project management experience in the field of successfully commissioned hydropower projects The project land of 0 75 acre has already been acquired We would operate the power plant and sell the electricity to the government Have obtained letter of comfort from the state utility on power purchase agreement The total project cost is INR 5 4 crore and the development period is 9 months IRR for the project is projected to be 18 5 We have secured all local approvals including Government order and have started construction We have also received a CRISIL rating certificate to show our financial quality ,3,others
 Wellknown Company in the space of Solar Power and Energy Efficiency Highly reputed Clients in the manufacturing sector including Steel Cement Chemical etc Our Clientele include top 10 Companies across India Have two ongoing project and we are seeking investors The investor will get 1619 Internal Rate Of Return IRR ,11,Sustainable Energy
 STEM education for children elementary schoolage and science events for children Junior Einsteins Science Club franchise model is a proven profitable business model It is a homebased mobile franchise with high earning potential We provide the owneroperator in your chosen territory with a complete support system so you are in business for yourself but never by yourself We offer constant support and advice in all operations from hiring marketing sales to ongoing training and a stream of new exciting themed experiments If you are the right fit for us and us for you you will become a valued member of our global expanding franchise family In 2014 the Junior Einsteins Science Club was created in Dublin Ireland Now we have wonderful national and international owneroperators reaching thousands of children with fantastic handson STEM activities Awards Accolades Our founder is Speaker United Nations International Women and Girls in Science Day New York February 2020 Junior Einsteins Science Club is in partnership with RASIT The United Nations bringing STEM events to children globally Nominated Best Children s Franchise in The Global Franchise awards Las Vegas February 2021 Named in Top 100 most influential women in franchising 2020 Global Franchise magazine Winner Best Emerging Franchise The Franchise Awards Ireland 2019 Nominated Children s Franchise of the year The Franchise Awards Ireland 2019 Winner First prize International Voom 2018 Richard Branson Virgin Media Business Award Awarded Business AllStars Ireland 2019 Shortlisted for Image businesswoman of the year 2016 Ireland Shortlisted for the Image Businesswoman of the Year Entrepreneur of the Year 2019 Keynote Speaker Northern Ireland Women in Business Awards 2018 High Energy STEM Events We are proud of our Awardwinning handson STEM for kids Everything we do here at Junior Einsteins Science Club is because we are passionate about bringing STEM to young children in a funfilled highenergy way Our events are very childcentric and all of our children are our Junior Einsteins We nurture children s natural curiosity creativity We inspire our Junior Einsteins to use their imaginations make a mess explore and discover We do this through fantastic interactive experiments from slimemaking children learning about long chain polymerization and NonNewtonian fluids A Barbie Doll gets a hairraising experience on a Van Der Graaf generator while children learn about voltage and current By lighting a lightsaber with a plasma ball we learn how electricity flows We inspire our Junior Einsteins to explore a broad range of STEM subjects learning by doing fossil making forensics arctic animal adaptions classification of life rocket races bug hunts illusions and how cartoons are made geology and volcanoes Bernoulli s effect and how planes fly marine biology quantum physics using nerf guns microbiology chemistry pH purple power exothermic reactions making elephant s toothpaste magnets light anatomy engineering covering STEM STEAM areas Learning through tons of fun We teach children How to Think not What to think best preparing them for our ever changing world We hope our Junior Einsteins will build their love of science in primary elementary school and choose science as a subject in secondary high school and on to the third level We need more scientists We do this through science parties science camps at Easter Halloween midterm summer afterschool science clubs Saturday science clubs school science shows STEM workshops science corporate events science family events festivals ,9,others
 Company established 15 years ago specialises in providing innovative renewable energy solutions Have developed proprietary products for solar water heating water cooling and power generation Products are manufactured in China under our own brand by a contract manufacturer Have 2 Trademarked brands under the company We are the selected solar product supplier to the Auckland Council Retrofit Program The company is Seanz accredited Completed over 150 residential and commercial projects till date Majority of our revenue is from residential projects Have a large Govt solar panels installation project in hand Promoter has over 20 years of experience in the solar and energy industry Business owns brands product inventory website furniture ,11,Sustainable Energy
 We are a solar EPC company providing engineering consultancy procurement construction services across Maharashtra Our company is also recognized by the Government of India as a startup company To date we have done 50 projects and on average a project takes 3 to 4 months to be completed Completed projects with a capacity of more than 500 KWP Procure the parts from 15 vendors in Maharashtra We manufacture the MC4 connectors used in the installation of solar panels in our facility and have a production capacity of manufacturing 50 000 pieces per month Engaged in also maintaining and servicing the projects after installation and have reputed clients Majority of our revenue comes from the installation of projects We have built a 250 KW solar power plant on the BOT OPEX Model which gives us a fixed income for the next 15 years We also have a research and development wing which is known as the center of excellence in renewable energy In this we does various researches related to solar energy and published in the form of patents copyrights etc In this center of excellence we have different projects on which research is carried out ,1,Sustainable Energy
 This solar power plant is used for providing clean energy to the State of Haryana there is a PPA with Haryana Power Purchase Center in place It is located in Haryana and cannot be relocated This asset provides clean energy and has a high PPA rate locked in with 20 years remaining Profile is listed by advisor whose business is based both in India as well as US ,0,Sustainable Energy
 Leading global provider of OSS software solutions in the telecommunication energy and egovernment industry Have 510 clients currently and have served 100 clients till date We have developed over 10 proprietary software products in the telecommunication industry 1 primary energy software product and 1 egovernment software product Generate revenue through licensing our products price depends on the number of endusers product sale and we also provide paid professional services like annual maintenance product installation and consultation Our major clients include Avea Vodafone Samsung Vakıfbank Meteksan Sistem Roche and Azerfon We utilize paid digital marketing and have a team of over 1020 local partners that assist with marketing ,2,others
 Leading global provider of OSS software solutions in the telecommunication energy and egovernment industry Have 510 clients currently and have served 100 clients till date We have developed over 10 proprietary software products in the telecommunication industry 1 primary energy software product and 1 egovernment software product Generate revenue through licensing our products price depends on the number of endusers product sale and we also provide paid professional services like annual maintenance product installation and consultation Our major clients include Avea Vodafone Samsung Vakıfbank Meteksan Sistem Roche and Azerfon We utilize paid digital marketing and have a team of over 1020 local partners that assist with marketing ,2,others
 Digital Transformation startup with several solutions in different areas described in the below sections Solution 1 The Talent ID Our Educational Business Solution under the product name of The Talent ID TTID is a key element for the sustainability of the educational activities empowered with multiple business and performance solutions to serve the need of the school teacher parent and students as well as supporting the entire ecosystem in the field It is designed and developed to serve as a progressive multidimensional educational and business solution Its main objective is to sustain the entire educational ecosystem by offering advanced highly interactive learning tools as well as sophisticated content development capabilities for an effective and modern learning experience In addition to that TTID offers a wide range of relative business activities that will create multiple streams of financial support to the entire school community and its relative ecosystem Our tool is designed to touch on the needs of the schools their teachers parents and students as well as supporting the entire ecosystem in the field Prices will be charged based on the number of users We are charging USD 1 monthly per user initially We are also implementing an effective rewardsbased program for students and parents with ewallet access where discounts will be provided by retail stores and students can access these discounts based on their performance We will be charging a commission of 3 percent from the shop owners We are also aggregating Learning Resources on the system taking 10 as commission We are selling prepaid cards for Private Tutoring with 20 margins We are promoting ads and sponsorships with a decent revenue stream Solution 2 Eight Donation Management System Our second major project is a donation management platform targeted towards NGOs and nonprofit organizations We want to increase transparency in this particular sector and we want to automate the entire procedure of receiving donations processing the funds and organizing and allocating the funds appropriately We have already signed a contract with the UN and the Lebanese Army Forces to use our solution Solution 3 Queuing We also have a third project targeted towards the sector in which clients have to be served while waiting in a queue The business will reveal details postinquiry from interested investors Solution 4 Home Cooked Ghost Kitchens We also have a fourth project targeted towards the food sector aggregating home cooks The business will reveal details postinquiry from interested investors Solution 5 The Brains Hub We also have a fifth project targeted towards employments and talents The business will reveal details postinquiry from interested investors Overall we have already signed a contract with the UN and the Lebanese Army Forces to use our donation management and ewallet solution with over 150 NGOs and nonprofit organizations have expressed interest As for the educational solution we have already signed contracts with schools editions houses publishers Learning resources suppliers retail shops and NGOs dealing with education 50 100 schools are in the pipeline We are tying up with a thirdparty firm for digital marketing and social media promotion on platforms like Facebook The current team is solely dedicated to product development and market expansion Promoter has over 20 years of work experience in the IT and HR sector and was the CEO of a major telecom company in the middleeast ,9,others
 Real estate company that designs develops builds and sells green homes Our USP is the integration of green technologies to deliver highperformance green homes with Indian Green Building Council IGBC platinum certification Will deliver houses that have fully centralized AC netzero electricity and maintenance cost environmentally friendly and sustainable development with lots of features never seen before in the market We will sell the houses at par with market prices Ongoing project to construct 30 villas is stipulated to be completed in 2 years Land for the project is entitled to us for development and the total cost of the project is INR 30 crores Company has an IGBC membership The company is led by 2 civil engineers and 1 architect Two of the promoters are civil engineers with 10 years of experience working in India Oman and Saudi Arabia The promoters have another construction company that has successfully delivered 70 small ticket projects Outstanding product and huge growth potential Highly scalable business model Already invested INR 1 8 Crore for land and operations Looking for only 3050 lakh loan for high return Guaranteed annual return of 25 shall be given Indian Green Building Council member Growth potential is really really huge and will be clear in the initial discussion itself Legal guarantee for return shall be provided ,3,others
 Business is a digital healthcare aggregator We have a dynamic healthcare website for health related products medical services and general healthcare content and awareness blogs 2 000 vendors pan India have registered with us to provide products and services These vendors are pharmacies labs fitness coaches dietitians doctors etc We have two offline offices in Bangalore and Ahmedabad where we conduct activities checkups and engaging activities to grow the community Searching and buying products and services happen via the app We have Android and iOS based applications with 10K users More than 2 lakh pharmacy products 2 5 lakh sustainable lifestyle products and 20K organic products database are available for sale via the app There are numerous revenue streams commission on products and services offline engagement activities registration fees for vendors and annual membership fees for customers that allows them premium content and services The company was established in 2019 but we started the operation recently as we were building the platform We do not have insights on segment wise sales and distribution as this is a relatively new business All other information and investment related details can be found in the pitch deck ,5,Tech
 The company was founded in 2021 with the unique idea of creating certified ecofriendly Organic sleep products D2C keeping people s health and environmental protection in mind The brand is driven by the passion to be the most respected source for organic mattresses pillows and bedding at affordable prices Sustainable ethical practices to protect the health of people and the earth We sell all our products through the eCommerce website We are making decent sales already although the business is just a year old Our brand is India s first and only certified organic mattress pillow seller We outsource the products from a particular vendor The company was registered in Thane We are looking to raise funds to expand our presence in the market ,2,others
 The business is a health tech SaaS platform that leverages advanced data analytics artificial intelligence and machine learning to redefine the healthcare delivery and payments model by building a Healthcare Network and a Value Based Care model It is a SaaS based small healthcare provider aggregator platform targeted at reducing the out of pocket expenses in the Indian healthcare system in tier 2 and 3 cities Demand aggregation through its online consumer portal Supply optimization with hyperlocal delivery through it s PAAS offering for local vendors and small hospitals Seek to use technology AI ML to optimize healthcare delivery make it affordable In the modern healthcare landscape the ability to comprehend and interpret crucial data holds the key to empower industry stakeholders to propel the quality of their services to the optimum The business is an AIpowered organization that innovates solutions for multiple stakeholders in the healthcare industry using cuttingedge tech platforms and products The products are developed and perfected with stateoftheart data analytics and AI technology enable these stakeholders to achieve their goals and revenue deliverables Additionally the business aims to create and nurture decisive partnerships among our network of stakeholders to help them reap the fruits of mutual benefits The key highlights of the business are A Signed 1 year agreement with Fortis Healthcare in June 2021 as their onsite vaccination partner B One stop and cost effective solution C Easy search and connect option D Overcoming language barriers via Haptik Devnagri API s E Hyperlocal model for pharmacy and diagnosis F Augmenting demand for local business G Harness 5G technology to improve accessibility H Tied up with claim consultant to facilitate Instant Insurance cashless payment option for customers for availing any healthcare services I Integrating all the services through Whatsapp to make services more accessible in tier 23 cities in India J Consumer application available on Android and iOS launched last year which has already crossed 7 000 downloads till date K Services Live is already providing the following services on its mobile application through hyperlocal supply chain in Meerut Noida Ghaziabad L The business has successfully fulfilled over 50 000 orders for vaccination and over 1 000 medicine orders delivered through its platform amounting to revenue of INR 55 lakhs last year The business does not have any loan nor does it have any overdue Revenue has fallen from last year as the business has been impacted by the pandemic ,8,others
 Company with 27 years of experience in the production of oak furniture Business has more than 150 B2B customers and most of them are regular clients Working only with timber sourced and obtained from fully certified sustainable and renewable forests We produce 500700 pieces of tables per month depending on the complexity Company has some loans which will be cleared before the sale Business has a single owner ,4,others
 Our brand Hygiene Kitchens was incorporated under the company name Empress Kitchens OPC Pvt Ltd over 4 years ago As the name of our brand emphasizes we value cleanliness and healthy cooking in the kitchen with strong sustainable and reliable products Steel modular kitchens and wardrobes have replaced wood made products because of environmental advantages and hygienic advantages There is a lot of potential market since many home owners replace the decayed or damaged wooden products with steel furniture In addition to this with more disposable income people are ready to pay for costly furnishing and for upscale appearance We offer unique products which have a high demand in the market and we provide customized solutions for every customers We are looking for franchise partners to help expand our brand throughout India ,2,others
 Operations started during June 2020 as a unique ecommerce Indian entity with a corporate office in Gurugram Aim towards health social and economic wellness for the people of India Focused to deliver on time 100 hygienic and safe drinking water to the people of India Customers can order through the mobile application which is available on iOS and Google Play Serving 3 200 clients out of which 480 clients are corporates Marquee clients are HDFC Bank PNB Bank Canara Bank Pepperfry Uniqlo Decathlon CK Birla Hospital and many corporates and industries Users have the liberty to choose any brand of their choice such as Aquafina Bailley Bisleri Kinley PatanjaliDivyaJal etc and get instantly delivered at the respective doorstep in the country We also deliver all kinds of fruit juices soft drinks energy drinks and coconut water from brands like Coke Pepsi Red Bull Raw etc We have rate contracts with the companies Deliveries are carried out through our own logistic services We do marketing using digital services and social media Services to be launched in Delhi and Noida by the end of the month Brand partnership with Coke Pepsi Parle Alkalen Raw and Patanjali Strong unit economics with an average gross margin of 30 Programmed for 600 cities in India within a period of another three years Capability to increase more products such as milk tea and coffee packaged products through our very unique proposition model to make it full use of a complete beverage ecommerce company Have 4 leased vehicles for delivery operations Looking forward to Indian investors who share the same passion to contribute to build India s own unicorn ecommerce startup and in order to support the Aatma Nirbhar Bharat initiative ,2,others
 We are a registered real estate rental development and construction company based in some parts of the French and Dutch regions Our primary operations include providing advice sales marketing appraisal reports and consultancy services in the field of property management real estate timeshare construction maintenance and administration We are planning to start a new project related to agrivoltaics and solar panel energy with livestock a fully new concept for Saint Maarten and Saint Martin Promoter of the business has more than 10 years of experience in the industry A detailed plan and financial projections are listed in the document Business Plan ,10,others
 Our s is a consumer electronics brand featuring headphones inears and power banks The latitude is music and electronic gadgets capable of also running on the alternate source of electricity the solar energy We believe every good thing exhausts hence the need for alternate sources Solar energy is no new story but its application in the consumer electronics segment would be revolutionary Technology is omnipresent and we will keep value adding to the same The company and product policies are derived from our very own experiences as customers to various products across We are delivering benefits with zeal innovation and utmost sincerity which only delights the customers We do not thrive upon unhealthy obnoxious competition The amazing part of my company s story is the name The name is ubiquitous in the music devices industry After completing my Bschool education I explored and this company happened with immense valuable inputs from the cofounders and other stake holders We have some TV commercial which we will be launching on Youtube this can be shared with an investor We design our own products We take care of minute details and ensure the final product is aesthetically pleasing In just four months we got a huge market appreciation Retailers and consumers love our products and its allied after sales service ,5,Tech
 Company has main office in Mumbai and branch offices in Nashik Jodhpur We are a solar EPC company offering complete solar solutions We design solar grids procure materials and construct the project for commercial industrial institutional and residential customers Completed more than 70 projects till date across 4 states All the projects completed will add to more than 6 MW of energy Each project takes 34 months to complete Majority of the revenue is generated by commercial projects We are registered with RRECL MNRE and impaneled as EPC for other IPPs The company is run by professionals with more than 15 years of experience in building power infrastructure business development and finance Business owns website computers furniture and few equipment ,1,Sustainable Energy
 We are Hydropower consultants providing engineering services to clients in the Hydropower development Provide services such as engineering planning and design construction management commissioning and project procurement Currently looking for funds to setup a 5MW plant in Dagami which will be set up as a separate legal entity Plant can also be higher than 5MW depending on the funding received The plant is already under construction and site preparation is almost complete but we are looking to extend to at least 5mw more We have been awarded the service contract DOE PPA ECC DENR and other necessary permits The power generated would be sold to local cooperatives in the area Business Owner has over 35 years of experience working in the field of renewable energy and engineering ,0,Sustainable Energy
 Company manufactures electrical parts and provides EPC services as well The company has built its own modern electrical equipment plant in accordance with all European requirements for product quality and work safety in which a wide range of products are manufactured finding application both in the company s own projects and for external contractors Modern innovative and highly specialized familyowned company is a leading name in the supply of electrical services and products for a wide range of industries and sectors in Bulgaria The company possesses all relevant authorizations and certificates An official certified technology partner for Bulgaria of a global leader in the sector Healthy and stable financial track record The buyer will receive the legal entity and all physical assets owned by the company for BGN 5 8 million This transaction is being handled by a business broker based in Bulgaria ,2,others
 Company is based out of Hyderabad and it has 2 different business lines We design construct complete setup for rooftop solar plants and swimming pools Have completed around 45 rooftop solar projects since inception Company has setup up to 500KW solar plants as of now We are empanelled under Andhra Pradesh State Govt NREDCAP for installing solar power plants Founder has 12 years of experience in the industry and has setup up to 20Mega Watt of energy We are also into swimming pool construction in commercial and residential buildings and have developed around 20 pools as of now Solar project is generating 55 of revenue for the company ,11,Sustainable Energy
 Bangalore based business that started operations 3 years ago Company designs develops and sells various wearables which include apparel footwear sportswear smartwatches under its own brand name Have 2 patents for antistain antiodor energy recovery technology Business has grown at CAGR of 200 1styear revenue was INR 3cr 2ndyear revenue was INR 11cr 3rdyear revenue was INR 25cr Promoter has experience in nanotech online brand ,4,others
 Company has developed a software solution for automated postprocessing of intraday power trades Our software reads trades that are executed on the ComTrader platform by reading selected files in the local file system postprocesses the trade and or lets the user automate data transformations and send the results to configurable endpoints such as excel files emails databases SOAP REST webservices and much more Due to a private family situation the promoter is no longer able to manage and market the solution and is looking for a successor We are offering all the relevant contents including source codes documentation presentation website content domain and also the corresponding trademark already registered The asking price does not include the registered business entity Potential end customers for the software include EPEX SPOT exchange members using ComTrader There is no direct alternative available for this use case and at such a low cost We have not sold any licenses so far but the successor can sell the solution using a yearly license model that is renewable Technology stack used for development Java and Spring Boot in the backend and Vaadin Flow on the frontend Installation and operations manual are prepared with an average computer user in mind ,2,others
 The company is one of India s top 10 solar data analytics companies The software monitors 1 1GW of solar PV plants across India and other countries Some of the main customers of the company are ABB Hitachi Microtek Gartner Schneider and Huawei It also has an international footprint in Nepal Sri Lanka Dubai and Rwanda ,11,Sustainable Energy
 Group with 2 legal entities involved in different aspects of MEP construction We offer chill water piping specialized coating thermal insulation and HVAC installation through our entities The group has completed 100 projects since its inception Order booking of AED 3 5 million Quotes worth AED 30 million are in the pipeline Our client list of 22 clients includes ADWEA DEWA AlAin airport and the Dubai World Trade Center The loan is being sought by the entire group and the loan will be disbursed to one of the entities The group is coowned by two partners with each heading one single entity All financials mentioned below are of the entire group Group is debtfree ,10,others
 Business provides waste management services for agricultural waste We collect store and process paddy straw sugarcane trash corn stover and wheat straw We sell the products to bio gasproducing businesses Agricultural waste is collected from farmers and then processed Business is seeking investment to start its own bio CNG plant The Bio CNG will be an important substitute for oil Business has 3 partners with one having the majority of the stake Business has one ongoing loan ,12,others
 IT Networking Project design implementations and Maintenance company based out of Bangalore Owner has more than 25 years of IT experience Till now we have completed more than 100 projects and we currently have 3 ongoing projects We deal only in South India as a subcontractor and as registered vendor Branding our own UTM hotspot server as ODM partner ,1,Sustainable Energy
 Company produces CNG fuels by using energy crops as input We have a 10 years contract with a government PSU to supply fuels Additionally we also supply fuels to private clients Generate 60 revenue through government PSU and rest 40 revenue through private clients Company is able to generate high profits with the help of its proprietary anaerobic technology Our registered office and laboratory is in Bangalore However our production facility is based in Andhra Pradesh The plant has a daily production capacity of 5MT Company is in the process to set up a new plant in Bangalore with a daily production capacity of 12MT for secured order We have already acquired the land of 2 acre and have finished 40 of the construction work In the past the company had also set up a CNG plant for one of its client CNG is a sunrise sector in India We are open for debt debenture or equity investment ,6,Sustainable Energy
 We are a process contractor that designs and builds wastewater treatment systems We deploy our disruptive lowcost technology which is an energyefficient carbonnegative wastewater treatment and water reuse technology that solves the cost and unreliability issues of conventional treatment systems Want to cater to small communities hotels and resorts and selected industries First demo facility was constructed in the US for the Indiana State Department of Natural Resources We have received 2 EU H2020 seals of excellence and our first customer will be Aqualia a Spanish utility operator Our customer is funding our EU demonstration facility and has identified 12 of their facilities for the implementation of our technology in the next 4 years Terms negotiated for payment are 40 on signing of the contract with 50 on delivery and installation 10 will be paid over a period of 2 years wherein we will be responsible for the maintenance as well Project is for the treatment of 1 000 cubic meters of water a day with a total project cost of EUR 2 million We are the owners of the technology and subcontract the civil work on our sites The promoter is a chemical engineer with formal business and legal qualifications along with strong technical management and contractual skills They have vast experience of 4 decades in municipal and industrial wastewater water and solid waste industry The promoter is currently based in Italy ,5,Tech
 Newly established nonoperational Nagpurbased high purity medical grade Industrial grade oxygen and nitrogen BioCNG gas manufacturer and supplier with state of the art storage and refilling facility We will supply good quality supply to our clients at reasonable rates to support the medical and industrial requirements through our highly sophisticated production plant We have set up a stateoftheart manufacturing and supply unit for high purity oxygen and nitrogen gas and have plans set in place to grow further in the natural gases sector Our targeted customers are from the automobile healthcare steel food chemical and energy industries At present there are no business loans taken Physical assets include machinery raw materials and infrastructure setup ,4,others
 Recently established business doing installation configuration and maintenance of networking devices We have 6 MNCs to whom we offer our services Our major clients are ECI Telecom Nokia and EDF Energy We send technicians and engineers at client s location for configuration and to resolve any service issues On an average our technicians have more than 5 years of experience Funding would be used to increase our employee base ,7,others
 We are a startup working on telecom engineering and infrastructure projects We have received a project from Nokia in UAE for upgrading the telecom infrastructure as per UAE s existing network policy Our second project is from Uttar Pradesh Jal Nigam for setting up infrastructure for water processing Equipment and resources needed for these projects would be taken care by client side Planning manpower and technology is taken care by our company Duration of each project would be more than 2 years Both projects would be beginning at the same time and we need funds to cover project and manpower expenses ,1,Sustainable Energy
 Class 1 certified electrical contractor Company design and installs electrical and solar products for its clients We have executed EHV Transmission Line and Substation Project We are involved in execution of more than 8 MW Solar Roof Top Projects We have our website and also listed on India Mart Sulekha and other websites Our market is not restricted to India We do exports to neighbouring countries as well ,11,Sustainable Energy
 We are a start up business with a vision to recycle majority of municipal solid waste in India We collect these waste from homes villages and other garbage locations and segregate it as dry and wet waste Have partnered with drivers to collect waste from homes villages and garbage centres We are targeting to collect 50 to 100 kg waste per day once the segregation unit is set up We will create an application where drivers can register themselves and collect all unnoticed waste In talks with 4 to 5 companies who can buy these recycled waste to produce energy out of it ,12,others
